Sales,Publisher
0,10TACLE Studios
0.01,1C Company
0.01,20th Century Fox Video Games
0.01,2D Boy
0.6300000000000001,3DO
0,49Games
5.309999999999992,505 Games
0,5pb
0,7G//AMES
0.02,989 Sports
0.6700000000000002,989 Studios
0.01,Abylight
3.4499999999999966,Acclaim Entertainment
0.07,Accolade
0.01,Ackkstudios
0.03,Acquire
75.81000000000016,Activision
0.03,Activision Blizzard
0.5700000000000002,Activision Value
0.01,Adeline Software
0,Aerosoft
0.01,Agatsuma Entertainment
0.19000000000000003,Agetec
0.04,Aksys Games
0.01,Alawar Entertainment
0.15,Alchemist
0.02,Alternative Software
0,Altron
0,Alvion
0.02,American Softworks
0,Angel Studios
0.01,Answer Software
0.05,AQ Interactive
0.02,Aqua Plus
0.01,Aques
0.11,Arc System Works
0.14,Arena Entertainment
0,Aria
0.01,Arika
0.04,ArtDink
0.08,Aruze Corp
0.13,ASC Games
0,Ascaron Entertainment
0.02,Ascaron Entertainment GmbH
0.3600000000000001,ASCII Entertainment
0,ASCII Media Works
0,Asgard
0,ASK
0.01,Asmik Ace Entertainment
0,Asmik Corp
0.05,Aspyr
0.06,Astragon
0.060000000000000005,Asylum Entertainment
8.899999999999979,Atari
0,Athena
0.6900000000000002,Atlus
0.03,Avalon Interactive
0.24,Avanquest
0.16000000000000003,Avanquest Software
0.02,Axela
0.24,BAM! Entertainment
0.3600000000000001,Banpresto
0,Benesse
0,Berkeley
10.369999999999992,Bethesda Softworks
0.060000000000000005,Big Ben Interactive
0,Big Fish Games
0.09,Bigben Interactive
0.07,bitComposer Games
0.38000000000000006,Black Bean Games
0.15,Black Label Games
0.03,Blast! Entertainment Ltd
0,Blue Byte
0.07,BMG Interactive Entertainment
0.01,Bohemia Interactive
0,Bomb
0,Boost On
0,BPS
0.10999999999999999,Brash Entertainment
0,Broccoli
0,BushiRoad
14.529999999999962,Capcom
0.01,Cave
0,CBS Electronics
0.03,CCP
0.01,CDV Software Entertainment
0.08,ChunSoft
0.5200000000000001,City Interactive
0,Cloud Imperium Games Corporation
0,Coconuts Japan
6.0399999999999885,Codemasters
0,Codemasters Online
0.02,CokeM Interactive
0.03,Coleco
0,Comfort
0,Commseed
0.1,Compile
0.060000000000000005,Compile Heart
0.05,Conspiracy Entertainment
0.02,Core Design Ltd.
0.01,CPG Products
0.6600000000000001,Crave Entertainment
0,Creative Core
0.01,Crimson Cow
0.11999999999999998,Crystal Dynamics
0.02,Crytek
0.06,CTO SpA
0,Culture Brain
0.01,Culture Publishers
0,CyberFront
0,Cygames
2.8199999999999967,D3Publisher
0.04,Daedalic
0,Daedalic Entertainment
0,Daito
0,Data Age
0.02,Data Design Interactive
0,Data East
0,Datam Polystar
2.759999999999995,Deep Silver
0.03,"Destination Software, Inc"
0.27000000000000013,Destineer
0.02,Detn8 Games
0,Devolver Digital
0.01,DHM Interactive
0,DigiCube
12.949999999999983,Disney Interactive Studios
0,Dorart
0,dramatic create
0.05,DreamCatcher Interactive
0.01,DreamWorks Interactive
0.01,DSI Games
0.44000000000000017,DTP Entertainment
0.01,Dusenberry Martin Racing
0.02,EA Games
0,Easy Interactive
0,Ecole
0,Edia
7.969999999999985,Eidos Interactive
128.96000000000004,Electronic Arts
0.03,Electronic Arts Victor
0,Elf
0,Elite
1.12,Empire Interactive
0,Encore
0.27,Enix Corporation
0.01,Enjoy Gaming ltd.
0.07,Enterbrain
0,EON Digital Entertainment
0,Epic Games
0.06,Epoch
0,Ertain
0,ESP
0,Essential Games
0,Evolution Games
0.03,Evolved Games
0.03,Excalibur Publishing
0,Experience Inc.
0,Extreme Entertainment Group
0.04,Falcom Corporation
0,Fields
0,Flashpoint Games
0,Flight-Plan
0.9500000000000004,Focus Home Interactive
0,Focus Multimedia
0,fonfun
0.05,Foreign Media Games
0,Fortyfive
0.43000000000000005,Fox Interactive
0.1,From Software
0,Fuji
0.07,Funbox Media
0.02,Funcom
0.01,FunSoft
0.01,Funsta
0.02,FuRyu
0.01,FuRyu Corporation
0,G.Rev
0,Gaga
0.01,Gainax Network Systems
0,Gakken
0,Game Arts
0.23000000000000004,Game Factory
0.03,Game Life
0.06,Gamebridge
0,Gamecock
0.01,Gameloft
0.09,GameMill Entertainment
0.01,Games Workshop
0,GameTek
0.11,Gathering of Developers
0.01,Gearbox Software
0.01,General Entertainment
0.11,Genki
0,Genterprise
0.24000000000000005,Ghostlight
0,Giga
0,Giza10
0,Glams
0.01,Global A Entertainment
0.63,Global Star
0,GN Software
0,GOA
0.22000000000000003,Gotham Games
0.01,Graffiti
0,Grand Prix Games
0,Graphsim Entertainment
0.05,Gremlin Interactive Ltd
0.01,Griffin International
0,Groove Games
0.3400000000000001,GSP
1.1400000000000003,GT Interactive
0.11,GungHo
0.05,Gust
0,Hackberry
0,HAL Laboratory
0.02,Hamster Corporation
0,Happinet
0.12000000000000001,Harmonix Music Systems
0.64,Hasbro Interactive
0.02,Havas Interactive
0,Headup Games
0.01,Hearty Robin
0,Hect
0.27,Hello Games
0,Her Interactive
0,Hip Interactive
0.02,HMH Interactive
0.11,Home Entertainment Suppliers
0.09,Hudson Entertainment
0.32000000000000006,Hudson Soft
0.1,Human Entertainment
0,HuneX
0,Iceberg Interactive
0,id Software
0.08999999999999998,Idea Factory
0.060000000000000005,Idea Factory International
0,IE Institute
0.5800000000000001,Ignition Entertainment
0.09,Illusion Softworks
0,Imadio
0,Image Epoch
0,imageepoch Inc.
0,Imageworks
0.04,Imagic
0,Imagineer
0,Imax
0.02,Indie Games
0.8500000000000003,Infogrames
0.02,Insomniac Games
0,Interchannel
0,Interchannel-Holon
0.4700000000000001,Interplay
0.01,Interplay Productions
0,"Interworks Unlimited, Inc."
0,Inti Creates
0.01,Introversion Software
0.01,inXile Entertainment
0.02,Irem Software Engineering
0,ITT Family Games
0,Ivolgamus
0.01,iWin
0.01,Jack of All Games
0.09999999999999999,Jaleco
0.14,Jester Interactive
0.02,Jorudan
0.11999999999999998,JoWood Productions
0,Just Flight
0.07,JVC
0,Kadokawa Games
0.07,Kadokawa Shoten
0,Kaga Create
0.24000000000000007,Kalypso Media
0,Kamui
0,Kando Games
0,Karin Entertainment
0.04,Kemco
0,KID
0,Kids Station
0,King Records
0.07,Knowledge Adventure
0.78,Koch Media
0,Kokopeli Digital Studios
29.93000000000007,Konami Digital Entertainment
0,Kool Kizz
0,KSS
0.01,Laguna
0,Legacy Interactive
0.05,LEGO Media
0.04,Level 5
0,Lexicon Entertainment
0,Licensed 4U
0,Lighthouse Interactive
0,Liquid Games
0.14,Little Orbit
0,Locus
0.01,LSP Games
10.229999999999992,LucasArts
0.02,Mad Catz
0.03,Magical Company
0.04,Magix
0.9500000000000005,Majesco Entertainment
0.01,Mamba Games
0,Marvel Entertainment
0.12000000000000001,Marvelous Entertainment
0,Marvelous Games
0.17000000000000004,Marvelous Interactive
0,Masque Publishing
0.13,Mastertronic
0.12999999999999998,Mastiff
0.05,Mattel Interactive
0,Max Five
0,Maximum Family Games
0.19,Maxis
0,MC2 Entertainment
0,Media Entertainment
0,Media Factory
0,Media Rings
0,Media Works
0,MediaQuest
0.01,Men-A-Vision
0.07,Mentor Interactive
0.01,Mercury Games
0.03,Merscom LLC
0.15000000000000002,Metro 3D
0,Michaelsoft
0,Micro Cabin
0.01,Microids
0.16,Microprose
18.910000000000036,Microsoft Game Studios
0.26,Midas Interactive Entertainment
5.719999999999987,Midway Games
0,Milestone
0.02,Milestone S.r.l
0.15000000000000002,Milestone S.r.l.
0,Minato Station
0.55,Mindscape
0,Mirai Shounen
0,Misawa
0,Mitsui
0,"mixi, Inc"
0.01,MLB.com
0.36,Mojang
0,Monte Christo Multimedia
0.01,Moss
0.01,MTO
2.0000000000000004,MTV Games
0.060000000000000005,Mud Duck Productions
0.04,Mumbo Jumbo
0,Mycom
0.01,Myelin Media
0.01,Mystique
0.6700000000000002,N/A
14.599999999999964,Namco Bandai Games
0.21000000000000002,Natsume
0,Navarre Corp
0,Naxat Soft
0,NCS
0.29000000000000004,NCSoft
0,NDA Productions
0,NEC
0,NEC Interchannel
0.02,Neko Entertainment
0,NetRevo
0.02,New
0,New World Computing
0.04,NewKidCo
0,Nexon
0,Nichibutsu
0.04,Nihon Falcom Corporation
94.68000000000013,Nintendo
0,Nippon Amuse
0,Nippon Columbia
1.2300000000000006,Nippon Ichi Software
0,Nippon Telenet
0,Nitroplus
0.14,Nobilis
0.05,Nordcurrent
0.4600000000000002,Nordic Games
0.06999999999999999,NovaLogic
0,Number None
0.01,O3 Entertainment
0.10999999999999999,Ocean
0,Office Create
0.08,O-Games
0.01,On Demand
0,Ongakukan
0.01,Origin Systems
0,Otomate
0.3600000000000001,Oxygen Interactive
0.04,P2 Games
0.03,Pacific Century Cyber Works
0.06,Pack In Soft
0,Pack-In-Video
0.04,Palcom
0.01,Panther Software
0,Paon
0,Paon Corporation
0,Paradox Development
0.060000000000000005,Paradox Interactive
0.05,Parker Bros.
0.02,Performance Designed Products
0,Phantagram
0.01,Phantom EFX
0,Phenomedia
0,Phoenix Games
0,Piacci
0.09,Pinnacle
0.04,Pioneer LDC
0.5500000000000002,Play It
0.09999999999999999,Playlogic Game Factory
0.02,Playmates
0,Playmore
0.05,PlayV
0,Plenty
0.01,PM Studios
0,Pony Canyon
0.13,PopCap Games
0.01,Popcorn Arcade
0.01,PopTop Software
0,Pow
0.43000000000000016,PQube
0,Princess Soft
0,Prototype
0.4500000000000002,Psygnosis
0.01,Quelle
0,Quest
0,Quinrose
0,Quintet
0.13,Rage Software
0.01,Rebellion
0.05,Rebellion Developments
0,RED Entertainment
0,Red Flagship
0.1,Red Orb
0.09,Red Storm Entertainment
0.91,RedOctane
0.02,Reef Entertainment
0.01,responDESIGN
0,Revolution (Japan)
0.01,Revolution Software
1.1600000000000006,Rising Star Games
0,Riverhillsoft
0,Rocket Company
0.22999999999999998,Rondomedia
0.19,RTL
0,Russel
0.1,Sammy Corporation
0,Saurus
0.19,Scholastic Inc.
0.26,SCi
0.04,Screenlife
0.02,SCS Software
0,Sears
23.81000000000005,Sega
0.04,Seta Corporation
0,Seventh Chord
0,Shogakukan
0,Simon & Schuster Interactive
0.19,Slightly Mad Studios
0.03,Slitherine Software
0.04,SNK
0.03,SNK Playmore
0,Societa
0,Sold Out
0,Sonnet
79.67000000000014,Sony Computer Entertainment
0.25,Sony Computer Entertainment America
3.29,Sony Computer Entertainment Europe
0,Sony Music Entertainment
0.24,Sony Online Entertainment
0.16,Sony Oznline Entertainment
0.5400000000000001,SouthPeak Games
0.38,Spike
0.01,SPS
0.23,Square
0.05,Square EA
13.719999999999972,Square Enix
1.5400000000000005,SquareSoft
0.01,SSI
0,Stainless Games
0.03,Starfish
0,Starpath Corp.
0.03,Sting
0.08,Storm City Games
0,Strategy First
0.09,Success
0,Summitsoft
0.01,Sunflowers
0,Sunrise Interactive
0.04,Sunsoft
0,Sweets
0.04,Swing! Entertainment
0.02,Syscom
0.04,System 3
0.19,System 3 Arcade Software
0,System Soft
0,T&E Soft
0.19000000000000003,Taito
0.08,Takara
0.06999999999999999,Takara Tomy
55.72000000000001,Take-Two Interactive
0,Takuyo
0.06,TalonSoft
0.01,TDK Core
0.4500000000000001,TDK Mediactive
0.01,Team17 Software
0,Technos Japan Corporation
0,TechnoSoft
3.1399999999999944,Tecmo Koei
0.06,Telegames
0.3700000000000001,Telltale Games
0.02,Telstar
0.03,Tetris Online
0,TGL
0.05,The Adventure Company
0,The Learning Company
31.890000000000043,THQ
0.01,Tigervision
0.03,Time Warner Interactive
0.2,Titus
0.02,Tivola
0,TOHO
0,Tommo
0.25,Tomy Corporation
0.01,TopWare Interactive
0.18000000000000002,Touchstone
0.01,Tradewest
0.13,Trion Worlds
0.03,Tripwire Interactive
0.02,Tru Blu Entertainment
0,Tryfirst
0.03,TYO
0,Type-Moon
0.02,U.S. Gold
49.17999999999997,Ubisoft
0.26000000000000006,Ubisoft Annecy
0.08,UEP Systems
0.04,UFO Interactive
0,UIG Entertainment
0,Ultravision
0.01,Universal Gamex
1.7500000000000002,Universal Interactive
2.469999999999996,Unknown
0.03,Valcon Games
0.04,ValuSoft
0.24,Valve
0.31,Valve Software
0,Vap
0.01,Vatical Entertainment
0.01,Vic Tokai
0.02,Victor Interactive
0.09,Video System
0,Views
0.01,Vir2L Studios
3.0299999999999994,Virgin Interactive
0,Virtual Play Games
0,Visco
4.78999999999999,Vivendi Games
0.07,Wanadoo
0,Warashi
0.05,Wargaming.net
18.230000000000025,Warner Bros. Interactive Entertainment
0,Warp
0.01,WayForward Technologies
0,Westwood Studios
0.01,White Park Bay Software
0.01,Wizard Video Games
0.01,Xicat Interactive
0.02,Xing Entertainment
0.17,Xplosiv
0.1,XS Games
0.07,Xseed Games
0.03,Yacht Club Games
0,Yamasa Entertainment
0,Yeti
0,Yuke's
0,Yumedia
0,Zenrin
0.7700000000000002,Zoo Digital Publishing
0.27,Zoo Games
0.12,Zushi Games
